FECHA,CANTID,NETO
08/06/2018,1,260490
04/06/2018,1,205990
11/06/2018,1,47490
11/06/2018,1,8990
20/06/2018,1,17490
04/06/2018,1,25490
26/06/2018,1,108990
18/06/2018,1,11490
08/06/2018,1,14490
14/06/2018,1,173990
06/06/2018,2,22980
27/06/2018,1,30990
08/06/2018,1,78990
26/06/2018,5,27450
26/06/2018,10,34900
26/06/2018,8,51920
26/06/2018,1,40990
14/06/2018,1,11400
27/06/2018,1,78990
20/06/2018,15,299850
06/06/2018,1,11490
26/06/2018,1,41990
08/06/2018,2,62980
18/06/2018,4,105848
27/06/2018,1,46990
04/06/2018,1,171990
05/06/2018,1,23990
26/06/2018,1,84490
21/06/2018,1,22990
08/06/2018,1,10490
14/06/2018,20,129800
15/06/2018,1,84990
06/06/2018,1,31490
06/06/2018,1,47490
21/06/2018,1,176490
14/06/2018,1,136490
12/06/2018,1,22990
12/06/2018,1,22990
14/06/2018,4,43960
19/06/2018,1,33990
12/06/2018,1,5490
27/06/2018,1,174990
18/06/2018,1,12490
08/06/2018,2,20980
27/06/2018,1,14490
06/06/2018,1,1490
19/06/2018,4,11660
19/06/2018,2,5830
19/06/2018,2,5830
19/06/2018,2,5830
14/06/2018,2,98980
21/06/2018,1,59990
05/06/2018,1,20490
15/06/2018,1,47490
14/06/2018,1,5490
27/06/2018,1,30000
19/06/2018,1,136990
27/06/2018,2,528000
21/06/2018,1,2915
21/06/2018,1,2915
21/06/2018,1,10990
14/06/2018,1,14990
18/06/2018,1,87490
14/06/2018,2,36980
12/06/2018,4,41960
08/06/2018,2,42980
14/06/2018,4,61960
21/06/2018,2,25000
21/06/2018,2,22800
13/06/2018,1,31490
15/06/2018,1,5490
14/06/2018,1,27990
27/06/2018,3,44970
27/06/2018,1,17990
27/06/2018,1,11400
29/06/2018,1,10990
14/06/2018,2,27980
14/06/2018,1,24990
12/06/2018,1,26490
12/06/2018,2,22980
29/06/2018,1,11400
20/06/2018,1,136025
13/06/2018,1,14990
13/06/2018,1,10990
21/06/2018,1,78490
19/06/2018,1,98990
06/06/2018,1,172990
05/06/2018,1,34990
14/06/2018,1,79490
14/06/2018,2,21980
18/06/2018,4,47960
18/06/2018,1,87490
05/06/2018,3,173970
14/06/2018,1,11990
27/06/2018,3,34470
26/06/2018,1,2915
26/06/2018,1,2915
26/06/2018,1,2915
04/06/2018,1,2915
04/06/2018,1,2915
08/06/2018,2,32980
08/06/2018,2,41980
08/06/2018,1,22490
12/06/2018,1,90990
12/06/2018,1,476990
29/06/2018,1,91490
29/06/2018,4,21960
29/06/2018,1,276490
20/06/2018,1,9490
21/06/2018,1,139990
14/06/2018,1,15494
08/06/2018,1,6990
08/06/2018,1,9990
14/06/2018,2,13980
21/06/2018,1,20490
21/06/2018,1,37990
06/06/2018,1,1527490
06/06/2018,1,59490
06/06/2018,1,613990
06/06/2018,1,510490
14/06/2018,2,21980
14/06/2018,1,20490
21/06/2018,1,172594
15/06/2018,4,195416
08/06/2018,1,2915
08/06/2018,1,2915
27/06/2018,1,2915
27/06/2018,1,2915
27/06/2018,1,2915
19/06/2018,1,47990
21/06/2018,1,17490
21/06/2018,1,10990
27/06/2018,1,11490
12/06/2018,1,91490
05/06/2018,1,502490
21/06/2018,2,110980
12/06/2018,1,16990
14/06/2018,1,10990
06/06/2018,3,8745
21/06/2018,1,29990
08/06/2018,1,368990
08/06/2018,1,62490
12/06/2018,2,7980
14/06/2018,1,12490
06/06/2018,1,55490
27/06/2018,1,48490
27/06/2018,3,34200
19/06/2018,1,87490
20/06/2018,1,109490
19/06/2018,1,59490
21/06/2018,1,47990
21/06/2018,1,11990
05/06/2018,1,131490
15/06/2018,1,206490
18/06/2018,1,199352
13/06/2018,1,10490
20/06/2018,1,11490
26/06/2018,1,5490
27/06/2018,2,32980
21/06/2018,2,867336
14/06/2018,1,21490
12/06/2018,2,118980
18/06/2018,3,10470
21/06/2018,1,18990
14/06/2018,1,47490
15/06/2018,1,33990
15/06/2018,2,16980
20/06/2018,1,16490
21/06/2018,1,21490
27/06/2018,1,39000
27/06/2018,5,104950
19/06/2018,1,78990
21/06/2018,1,126990
20/06/2018,1,11990
14/06/2018,3,1160970
14/06/2018,1,2915
27/06/2018,2,44980
27/06/2018,1,20490
27/06/2018,1,2915
27/06/2018,1,2915
27/06/2018,1,2915
14/06/2018,2,110980
18/06/2018,2,110980
06/06/2018,1,34990
12/06/2018,1,189490
26/06/2018,1,20490
20/06/2018,1,284490
11/06/2018,1,11990
28/06/2018,2,17980
26/06/2018,1,15990
05/06/2018,1,19490
21/06/2018,3,77970
15/06/2018,1,20990
12/06/2018,2,56980
14/06/2018,4,43960
14/06/2018,4,47960
20/06/2018,1,31924
21/06/2018,2,25980
19/06/2018,1,11990
15/06/2018,1,58990
28/06/2018,1,58990
19/06/2018,1,15490
13/06/2018,2,20980
06/06/2018,3,20970
08/06/2018,2,24980
19/06/2018,1,2915
20/06/2018,1,22490
21/06/2018,1,22490
19/06/2018,2,32980
19/06/2018,1,31490
14/06/2018,1,11490
14/06/2018,2,5830
14/06/2018,1,2915
14/06/2018,1,2915
13/06/2018,1,10490
13/06/2018,1,19490
20/06/2018,1,7990
26/06/2018,6,32940
26/06/2018,1,62990
06/06/2018,3,34470
19/06/2018,1,39000
18/06/2018,4,49960
18/06/2018,5,62450
27/06/2018,1,20490
13/06/2018,1,12490
15/06/2018,1,11990
08/06/2018,1,33490
04/06/2018,1,17990
04/06/2018,1,27490
04/06/2018,1,8490
04/06/2018,1,163990
14/06/2018,2,36980
21/06/2018,1,20490
21/06/2018,3,58470
21/06/2018,1,97990
21/06/2018,2,53940
19/06/2018,1,19900
21/06/2018,1,19900
29/06/2018,1,19900
29/06/2018,1,72490
08/06/2018,2,456980
12/06/2018,1,21490
05/06/2018,5,84950
06/06/2018,1,12490
06/06/2018,1,77490
14/06/2018,1,235990
14/06/2018,2,233980
14/06/2018,1,188490
21/06/2018,1,175990
06/06/2018,1,2915
06/06/2018,1,2915
06/06/2018,1,2915
06/06/2018,1,2915
07/06/2018,2,110980
14/06/2018,1,76490
19/06/2018,10,29150
06/06/2018,1,63990
14/06/2018,1,41990
06/06/2018,1,21490
15/06/2018,2,13980
15/06/2018,2,20980
12/06/2018,1,47990
14/06/2018,1,15490
26/06/2018,2,33980
08/06/2018,5,84950
29/06/2018,3,22470
12/06/2018,1,66990
27/06/2018,1,18405
13/06/2018,1,116990
13/06/2018,1,108490
12/06/2018,1,24490
05/06/2018,2,22980
21/06/2018,2,7980
08/06/2018,1,63990
08/06/2018,1,5490
15/06/2018,1,27723
12/06/2018,1,1490
15/06/2018,1,10990
12/06/2018,1,45969
12/06/2018,1,46178
12/06/2018,1,45375
12/06/2018,1,6567
12/06/2018,1,22220
12/06/2018,1,18535
12/06/2018,1,23925
12/06/2018,1,25300
12/06/2018,1,20900
12/06/2018,1,25300
12/06/2018,1,10010
12/06/2018,1,6380
12/06/2018,1,5500
12/06/2018,1,14080
14/06/2018,1,20990
21/06/2018,1,16990
15/06/2018,6,107940
15/06/2018,2,22980
18/06/2018,1,189490
06/06/2018,5,27450
18/06/2018,1,37807
05/06/2018,1,27990
20/06/2018,3,31470
12/06/2018,1,10490
04/06/2018,1,55490
21/06/2018,1,15990
14/06/2018,1,34490
27/06/2018,2,52000
15/06/2018,1,34490
05/06/2018,1,5990
05/06/2018,3,26970
13/06/2018,1,8990
15/06/2018,2,13980
06/06/2018,1,39000
04/06/2018,1,15331
04/06/2018,1,16990
15/06/2018,1,68990
14/06/2018,1,19490
14/06/2018,1,20490
15/06/2018,1,31990
12/06/2018,1,132990
14/06/2018,1,72990
19/06/2018,1,56990
12/06/2018,2,37980
18/06/2018,4,75960
27/06/2018,1,10490
27/06/2018,1,33490
08/06/2018,1,54990
13/06/2018,2,166980
13/06/2018,1,125990
19/06/2018,1,54990
29/06/2018,1,54990
12/06/2018,5,129950
08/06/2018,1,46990
26/06/2018,1,16434
12/06/2018,1,50490
14/06/2018,1,18490
12/06/2018,2,42980
21/06/2018,1,136025
21/06/2018,1,328640
04/06/2018,1,13490
27/06/2018,1,238490
14/06/2018,1,54990
08/06/2018,1,18490
05/06/2018,1,5490
05/06/2018,1,23990
05/06/2018,1,13490
05/06/2018,1,17490
05/06/2018,1,21990
05/06/2018,1,22990
21/06/2018,1,47990
21/06/2018,1,6490
08/06/2018,1,187990
13/06/2018,2,17980
13/06/2018,1,10990
21/06/2018,1,34990
05/06/2018,1,12490
05/06/2018,1,16490
20/06/2018,1,16490
14/06/2018,1,432490
18/06/2018,1,13490
21/06/2018,2,95980
27/06/2018,3,644808
21/06/2018,1,18990
06/06/2018,1,33990
15/06/2018,1,33990
20/06/2018,1,53352
21/06/2018,1,166031
05/06/2018,1,7490
27/06/2018,1,12490
14/06/2018,1,10490
20/06/2018,1,17490
27/06/2018,2,22980
19/06/2018,2,12980
18/06/2018,2,59000
21/06/2018,2,23980
20/06/2018,1,87490
27/06/2018,1,25990
13/06/2018,1,46990
14/06/2018,1,8490
12/06/2018,2,161980
20/06/2018,3,143970
08/06/2018,1,10490
12/06/2018,1,95990
21/06/2018,4,45960
14/06/2018,5,54950
14/06/2018,7,150430
14/06/2018,1,11990
21/06/2018,1,5034
19/06/2018,1,173990
11/06/2018,15,502350
08/06/2018,1,27990
15/06/2018,4,5960
19/06/2018,1,22490
18/06/2018,2,20980
12/06/2018,1,15990
27/06/2018,3,55470
27/06/2018,1,2915
27/06/2018,1,2915
27/06/2018,1,2915
27/06/2018,1,2915
